sentença,sentimento
Acredito na capacidade de mudança e crescimento pessoal.,1
Estou cansado de sempre ser decepcionado.,0
Eu amo a chegada da primavera.,1
Descobri que a minha série favorita ganhará uma nova temporada e fiquei eufórico.,1
A vida é cheia de possibilidades e oportunidades de crescimento.,1
Sinto-me cansado de lutar.,0
Estou cercado de pessoas que me amam e me aceitam como sou.,1
Sinto uma tristeza profunda em meu coração.,0
Não tenho ninguém para compartilhar minha vida,0
A vida é um presente e eu agradeço por cada dia que vivo.,1
Agradeço por ter saúde e poder aproveitar a vida da melhor forma.,1
Eu encontro alegria nas pequenas coisas.,1
Sou grato por tudo o que você faz!,1
"A vida é um presente precioso, cuide bem dela.",1
O amor é a força mais poderosa do mundo,1
Recebi uma ligação de parabéns de alguém que considero muito.,1
O otimismo é a chave para uma vida feliz.,1
"Celebre suas conquistas, por menores que sejam.",1
Ter você como amigo é um privilégio!,1
Ninguém me entende.,0
Minha vida é muito mais feliz com você nela!,1
Cada dia é uma nova oportunidade para ser melhor.,1
Estou cansado de sempre ser deixado de lado.,0
Não há mais esperança em meu coração.,0
A vida é uma constante batalha que não tenho mais vontade de lutar,0
Eu me sinto humilhado pelos meus amigos.,0
Nada se encaixa na minha vida e isso me deixa frustrado.,0
Estou muito agradecido por todas as oportunidades que a vida me deu até hoje.,1
Não tenho talento para nada.,0
A felicidade é uma escolha que fazemos a cada dia.,1
Recebi uma mensagem de sucesso de um(a) ex-professor(a) e me senti orgulhoso.,1
Fiz uma boa ação e me sinto uma pessoa melhor.,1
As críticas constantes me fazem questionar se sou digno de amor e respeito.,0
Meu coração se aquece quando recebo seu abraço.,1
"A felicidade não é algo pronto, ela vem das suas ações.",1
Não há nada que me dê prazer ou alegria,0
A esperança é eterna.,1
Fui bloqueado pelas minhas redes sociais por alguém que eu considerava um amigo próximo.,0
Estou tão cansado de sempre ser deixado de lado,0
Eu estou condenado ao fracasso.,0
Eu me aceito como sou.,1
Tenho medo de ficar sozinho para sempre.,0
Me sinto abandonado por todas as pessoas que amei.,0
Fui assaltado no meio da rua.,0
Não consigo mais confiar em mim mesma depois de tantas escolhas erradas.,0
Tenho muito amor e carinho para dar e receber.,1
"Sinto gratidão por tudo que tenho e sou, e isso me traz felicidade.",1
Estou feliz por ter um trabalho que me realiza e me traz satisfação.,1
Fui promovido no trabalho.,1
Ganhei um abraço apertado da minha avó e me senti amada.,1
Me sinto preso(a) em um relacionamento tóxico e não consigo sair.,0
Sinto-me um fracasso no amor,0
Eu me sinto inadequado para o mundo.,0
Meu vizinho de cima é extremamente barulhento e não me deixa dormir em paz.,0
Nada que eu faça parece dar certo.,0
Sou um fracasso em tudo.,0
Meu sorriso é contagiante.,1
Estou farto de ter que sempre deixar meus sonhos de lado para agradar aos outros.,0
Fui elogiado por minha paciência e gentileza.,1
A vida é uma aventura ousada ou nada.,1
"Comprei um produto pela internet e ele não funciona, mas a loja se recusa a trocá-lo.",0
Me sinto muito grato por tudo que tenho em minha vida.,1
Ninguém nunca vai me amar de verdade.,0
Amo meu trabalho e me sinto realizada com ele.,1
Você é amado e importante para mim!,1
Me sinto um verdadeiro fardo para todos ao meu redor,0
Recebi um elogio do meu chefe e me sinto motivado(a) para continuar me esforçando.,1
Sinto-me preso em um ciclo de tristeza e desespero.,0
A beleza começa no momento em que você decide ser você mesmo.,1
Não há nada que não possamos superar juntos.,1
Eu me sinto traído.,0
A música é a trilha sonora da minha vida.,1
Não tenho motivos para sorrir ou ser feliz,0
Eu estou frustrado.,0
Meu filho aprendeu a andar de bicicleta e estou explodindo de orgulho.,1
Sinto que nunca terei sucesso.,0
Tudo em minha vida é um grande vazio.,0
Minha mente é um labirinto de pensamentos negativos,0
Você é a melhor parte do meu dia.,1
Tenho fé em mim mesmo e sei que sou capaz de conquistar tudo que desejo.,1
Eu sou um perdedor,0
Passar tempo com a família é sempre divertido e gratificante.,1
Eu amo a natureza.,1
Não aguento mais essa situação.,0
Eu me sinto traído por mim mesmo.,0
Estou cansado de tudo isso.,0
Ter um cachorro é uma das melhores coisas da vida.,1
Eu estou ansioso por algo ruim acontecer.,0
Meu relacionamento está desmoronando.,0
A felicidade está no presente e na esperança do futuro.,1
A vida ao seu lado é um sonho que se tornou realidade.,1
Não aguento mais viver nessa situação,0
Eu me sinto perdido no mundo.,0
Tenho boas memórias de momentos felizes.,1
A vida é cheia de oportunidades.,1
Fui expulso de casa pelos meus pais e agora não tenho onde morar.,0
Eu me sinto perdido no amor.,0
Meus pais são meus maiores exemplos e fontes de amor.,1
"Não existem problemas, apenas oportunidades de crescimento.",1
Eu não consigo me concentrar.,0
Nunca sou bom o bastante para os padrões da sociedade.,0
Meus pais brigaram e eu me sinto preso no meio de tudo isso.,0
Fui reprovado em uma prova importante e agora vou ter que refazer o semestre.,0
Estou afundando em um mar de tristeza e não consigo me salvar.,0
Ganhei uma flor de um estranho na rua e me senti surpreso e feliz.,1
Não vejo mais razão para continuar tentando.,0
Minha vizinha fala mal de mim para todos no prédio e tenho que lidar com as consequências.,0
Me arrependo de ter tomado certas decisões na vida.,0
Ser cercado por pessoas que me apoiam e me amam é uma bênção.,1
Me sinto pressionado o tempo todo.,0
Estou muito feliz por ter encontrado uma pessoa incrível para compartilhar a vida.,1
"Estou feliz por ter um emprego que me deixa realizado e satisfeito.""",1
59. A vida é mais difícil quando você tem que enfrentá-la sozinho.,0
Eu estou ansioso.,0
Eu me sinto arrependido pelos meus amigos.,0
Sou grato por todas as oportunidades que recebi na vida.,1
Receber boas notícias sempre me enche de felicidade e esperança.,1
Eu não sou bom o suficiente para ninguém,0
Tudo em minha vida parece sem sentido.,0
As coisas boas sempre acontecem comigo.,1
Cada dia é uma oportunidade para ser melhor do que ontem.,1
A cada dia eu busco ser uma pessoa melhor.,1
Não tenho ninguém para me apoiar.,0
Não consigo encontrar um propósito em minha existência.,0
Não consigo me perdoar pelos meus erros.,0
A vida é feita de momentos felizes e eu aproveito todos eles.,1
"Não importa o que aconteça, sempre tenho motivos para sorrir.",1
A vida é uma jornada de autodescoberta e crescimento contínuo.,1
Tudo o que sinto é um vazio que não desaparece,0
Meu voo atrasou e perdi minha conexão.,0
Recebi uma proposta de emprego que estava esperando e me senti realizado.,1
A felicidade está nas pequenas coisas da vida.,1
"Nada parece dar certo, mesmo quando eu me esforço",0
Sinto que não tenho ninguém para confiar ou me apoiar,0
Não vejo mais sentido em continuar tentando.,0
Eu estou planejando grandes coisas para o futuro.,1
Admiro a beleza das flores e como elas trazem alegria ao ambiente.,1
Eu me sinto humilhado.,0
Nada que faço parece ser suficiente ou bom o bastante,0
Meu celular quebrou no dia em que eu ia receber uma ligação importante.,0
Sou grato por cada pessoa que me ajudou a ser quem eu sou hoje.,1
Ter você como parte da minha vida é uma bênção.,1
Minha série favorita foi cancelada no último episódio da temporada.,0
Não aguento mais ouvir as mesmas músicas na rádio.,0
"Sou uma pessoa corajosa e confiante, capaz de enfrentar meus medos e desafios.",1
Estou me sentindo completamente derrotado.,0
Sinto que todos sempre esperam o pior de mim.,0
Sou grato por ter a oportunidade de fazer o que amo todos os dias.,1
Posso ser quem eu quiser e alcançar tudo que eu sonhar.,1
Recebi um presente de alguém que admiro muito.,1
Meus pais vivem criticando minhas escolhas e não me deixam viver minha própria vida.,0
A felicidade está presente em todas as áreas da minha vida.,1
Estou cansado(a) de sempre ser ignorado(a) e deixado(a) de lado.,0
Nada melhor do que ver a felicidade de quem amamos e fazer parte dela.,1
Ganhei flores do meu amor.,1
Não sei até quando conseguirei suportar essa dor.,0
A vida é maravilhosa.,1
Estou sempre sendo julgado e criticado.,0
Estou cansado de ser quem sou.,0
Ninguém liga para meus sentimentos.,0
Não consigo mais suportar essa dor.,0
Recebi uma mensagem de alguém que não vejo há muito tempo e isso me deixou com um sorriso bobo no rosto.,1
A felicidade é sua aliada!,1
A sua força de vontade é inspiradora!,1
Eu me sinto inútil para minha família.,0
Eu não mereço felicidade,0
Eu estou com medo de viver.,0
Sinto que não sou bom o suficiente para ninguém,0
"A cada segundo penso em você, meu coração se enche de amor.",1
Estou cercado de beleza e abundância em tudo que me cerca.,1
Sou grato por todas as oportunidades que a vida me proporciona.,1
Não sou inteligente o suficiente,0
"A cada desafio superado, me sinto mais forte e confiante.",1
Não vejo um futuro promissor para mim.,0
Adoro quando consigo ajudar alguém a resolver um problema ou conflito.,1
Cada dia é uma nova chance para realizar meus sonhos e objetivos.,1
Eu sou um ser de expressão.,1
Ganhei uma massagem relaxante e me senti revigorado.,1
92. Não é fácil viver em um mundo onde as pessoas são julgadas por sua aparência.,0
22. Ninguém deveria sentir tanto medo de fracassar como eu sinto.,0
Você é uma pessoa maravilhosa!,1
Sou grato pelas oportunidades que surgem em minha vida.,1
Minha vida é colorida e cheia de luz.,1
Eu me sinto perdido no amor.,0
Viajar para novos lugares sempre me traz muitas alegrias.,1
Não sei onde foi que eu errei para tudo ter se tornado tão ruim,0
Não há um único lugar onde eu me sinta bem.,0
Recebi uma mensagem de apoio em um momento difícil e isso me trouxe conforto.,1
Aprendo algo novo todos os dias e isso me deixa animado.,1
"Me sinto perdido e sem rumo, sem saber para onde ir ou o que fazer.",0
Tenho medo de ser julgado pelas pessoas,0
Sou grato(a) por ter saúde e todas as oportunidades que ela me traz.,1
O amor próprio é fundamental para a felicidade.,1
Me sinto um fracasso em todos os aspectos da minha vida.,0
Meu vizinho ficou ouvindo música alta até tarde da noite e não me deixou dormir.,0
Sou uma pessoa sortuda.,1
Minha família só sabe brigar.,0
Tive que cancelar minhas férias por causa de uma emergência no trabalho.,0
Recebi uma surpresa incrível de alguém querido.,1
A vida é uma aventura e eu me divirto a cada dia.,1
Eu estou com medo do desconhecido.,0
A positividade atrai coisas boas para a minha vida.,1
Terminei de ler um livro que me emocionou.,1
Hoje está tudo perfeito.,1
"Nada muda, sempre estou na mesma situação.",0
Eu me sinto feliz quando vejo outras pessoas felizes.,1
Sou cercado por pessoas incríveis e isso me motiva a ser melhor a cada dia.,1
Tenho uma saúde perfeita.,1
Eu me sinto vivo quando faço o que amo.,1
Não suporto essa situação que estou vivendo,0
Você é uma estrela brilhante!,1
Não consigo superar minhas falhas,0
Aprenda a apreciar o que você tem enquanto busca o que deseja.,1
Eu me sinto desvalorizado.,0
Minha vizinha me deu uma bronca por causa do barulho.,0
Não consigo deixar de me comparar com os outros e me sentir pior.,0
Sou uma pessoa realizada e feliz.,1
Não tenho mais paciência para lidar com pessoas falsas.,0
Minha vida é maravilhosa.,1
Acredito no poder do pensamento positivo e da gratidão para transformar minha vida.,1
O amor é o sentimento mais puro e verdadeiro que sinto por você.,1
Meu amor próprio cresce a cada dia e isso é um grande presente.,1
"Meu time ganhou o jogo, estou pulando de alegria!",1
Estou com medo do futuro.,0
Eu tenho carinho e gratidão pelos meus pais e familiares.,1
Observar as estrelas no céu traz um sentimento de paz e tranquilidade.,1
Estou cercado de amor e isso me faz uma pessoa melhor.,1
Me sinto inadequado em todas as situações.,0
Minhas expectativas sempre são frustradas.,0
Você é um presente na minha vida!,1
Ninguém me entende,0
Receber um elogio de alguém que admiro sempre me motiva a ser melhor.,1
"Fui promovido no trabalho, estou muito grato e animado com as novas oportunidades.",1
Eu me sinto traído pelos meus amigos.,0
"Estou cansado de ter que provar meu valor o tempo todo, só queria ser aceito como sou.",0
Conseguir alcançar meus objetivos é uma sensação incrível.,1
"As coisas boas da vida estão presentes em todos os lugares, basta enxergá-las.",1
Recebi muitos elogios pelo meu trabalho.,1
Cada novo dia é uma oportunidade para crescer e aprender.,1
"Não quero mais tentar, parece que estou fadado ao fracasso.",0
Estou cansado de ser trocado por pessoas que não merecem.,0
Nada melhor do que acordar com o sol e aquele café quentinho.,1
Saber que tenho amigos leais e verdadeiros me deixa extremamente feliz.,1
Mais um dia sem nada de interessante para fazer.,0
Tenho muita sorte em ter amigos tão leais.,1
Minha família é extremamente tóxica e me sinto sufocado quando estou perto deles.,0
Sou apaixonado pela minha carreira e pelo que faço.,1
Perdi meu emprego por causa da crise econômica e agora não sei como sustentar minha família.,0
Não ter alguém com quem contar nos momentos difíceis é uma sensação muito solitária.,0
5. Não há nada mais triste do que se sentir sozinho em meio a uma multidão.,0
O concerto que eu estava esperando tanto foi cancelado.,0
Eu estou grato pelas oportunidades que o futuro me reserva.,1
Estou em paz comigo mesmo(a) e isso é o que realmente importa.,1
Fui traído pela pessoa que eu mais confiava.,0
"Estava tão ansioso para o final de semana, mas acabou chovendo o tempo todo.",0
Eu me sinto inútil.,0
Obrigado por ser tão maravilhoso em todos os sentidos.,1
As melhores memórias são feitas em família.,1
Acredito no poder da gratidão para atrair mais coisas boas para minha vida.,1
A sensação de paz e tranquilidade que a natureza traz é incomparável.,1
Não posso confiar em ninguém.,0
Fui elogiado por minha determinação e perseverança.,1
Me sinto completamente perdido e sem rumo.,0
Não tenho apoio de ninguém nessa jornada difícil.,0
Perdi meu cartão de crédito.,0
Encontrei um livro que mudou minha perspectiva de vida.,1
Não acredito mais em dias melhores.,0
"A cada amanhecer, sinto que meu coração se enche de esperança e gratidão.",1
A vida é cheia de decepções e tristezas.,0
Minha cama está fazendo barulhos estranhos.,0
Meu corpo nunca será bom o suficiente,0
O amor está em todos os lugares.,1
Eu estou com medo de falhar.,0
Receber um abraço de um amigo de longa data sempre me faz recordar bons momentos.,1
O presente que ganhei do meu parceiro foi muito especial e me fez sentir amado.,1
Minha vida é um mar de tristezas.,0
Eu não sou bom o suficiente.,0
Não tenho mais esperanças de dias melhores.,0
Meu coração é puro e bondoso.,1
O carinho e o amor da minha família me sustentam em todos os momentos.,1
Adoro quando encontro uma solução criativa para um problema.,1
"Não sei como lidar com essa situação, é como se eu tivesse perdido o controle de tudo.",0
Eu odeio acordar cedo.,0
Me sinto um perdedor.,0
Estou cansado de tentar e sempre falhar.,0
Só tenho a agradecer por tudo o que tenho.,1
Passei o dia no parque de diversões com meu sobrinho.,1
Sinto-me um estorvo para as pessoas.,0
Assisti a um espetáculo de teatro e me emocionei.,1
A minha roupa favorita encolheu na lavagem.,0
O clima está terrivelmente quente.,0
Sinto-me como um fracasso ambulante.,0
Não vejo saída para os meus problemas,0
Estou sempre me sentindo sozinho e abandonado.,0
O seu amor me torna uma pessoa mais forte a cada dia.,1
A sensação de liberdade que sinto ao viajar é indescritível.,1
Estou rodeado de coisas bonitas e positivas.,1
Estou rodeado de beleza e abundância em todas as áreas da minha vida.,1
Eu estou ansioso por algo sair errado.,0
Eu me sinto inadequado para o mundo.,0
Não tenho sorte no amor.,0
Estou sempre rodeado de positividade e boas energias.,1
A felicidade é contagiosa e eu escolho espalhá-la por onde passo.,1
Obrigado por ser você!,1
Sinto que não sou digno de amor ou felicidade,0
Estou me sentindo um fardo para os outros.,0
Sou grato por poder viajar e conhecer novos lugares.,1
É ótimo ter aquela sensação de dever cumprido após um dia de trabalho árduo.,1
A ansiedade me corrói por dentro e me impede de aproveitar a vida.,0
Eu me sinto culpado pelo mundo.,0
Terminei um curso que estava fazendo e recebi meu certificado.,1
Eu me sinto arrependido por mim mesmo.,0
Eu estou sempre preocupado.,0
"Não quero mais amar, só me traz sofrimento e desilusão.",0
Amanhã será ainda melhor do que hoje.,1
Minha família é meu porto seguro.,1
Eu me sinto inútil para mim mesmo.,0
A gratidão é um sentimento constante desde que te conheci.,1
Eu estou com raiva da situação.,0
Eu não mereço ser feliz.,0
Eu estou cheio de esperança para o futuro.,1
"A cada momento, percebo o quanto sou sortudo por ter as pessoas certas ao meu lado.",1
Meu jardim está florido e perfumado.,1
Você é um amigo fiel e leal!,1
Eu me sinto arrependido.,0
Já não sei mais o que fazer para melhorar de vida.,0
55. Sinto como se ninguém realmente me conhecesse de verdade.,0
Recebi um abraço quentinho em um dia frio.,1
Não encontro um sentido para minha existência.,0
Meus esforços foram reconhecidos e isso me enche de satisfação.,1
Eu odeio quando meu dia começa com chuva.,0
Adoro quando encontro uma promoção ou desconto em algo que eu precisava comprar.,1
Acordei com uma dor de dente insuportável e não consegui encontrar um dentista disponível.,0
Sinto uma angústia constante que me impede de ser feliz.,0
Sou grato por tudo o que você faz por mim!,1
Não sei como lidar com meus problemas,0
Não vejo a hora de acabar esse relacionamento tóxico.,0
Assisti a um filme que me fez rir do começo ao fim.,1
Meu coração é cheio de gratidão.,1
Não tenho tempo para nada,0
"8. Quando penso que as coisas vão melhorar, sempre dá errado.",0
Recebi um aumento salarial.,1
Encontrei um objeto que estava procurando há tempos e me senti aliviado.,1
"Sou uma pessoa única e especial, com talentos e qualidades únicas.",1
Não preciso de muito para ser feliz.,1
Meu futuro é brilhante e vou fazer de tudo para alcançar meus objetivos.,1
Não consigo encontrar felicidade.,0
Recebi a notícia de que vou me formar com honras.,1
Não consigo me entender com meu chefe.,0
Não tenho ninguém para me apoiar em momentos difíceis.,0
Não tenho motivação para seguir em frente.,0
"Não sei o que está acontecendo, mas nada parece estar dando certo.",0
A vida é uma aventura emocionante que vale a pena ser vivida.,1
Sinto que ninguém realmente me conhece ou me entende.,0
Não tenho mais forças para continuar,0
Não consigo ser feliz.,0
"Finalmente consegui terminar esse projeto e estou muito orgulhoso do resultado.""",1
O futuro é cheio de possibilidades e realização de sonhos.,1
Não tenho mais forças para lutar.,0
Meu coração é cheio de amor e compaixão.,1
A música sempre consegue me animar.,1
Eu estou sozinho.,0
"Sou uma pessoa forte e resiliente, capaz de superar qualquer obstáculo.",1
A felicidade é meu estado natural.,1
Ter uma boa noite de sono é essencial para um dia cheio de energia e positividade.,1
Receber uma notícia boa é motivo de celebração.,1
Estou me sentindo completamente desanimado.,0
Ver o pôr do sol me deixa em paz e com a alma leve.,1
Eu estou abraçando alguém.,1
Você é capaz de mais do que imagina.,1
Ter um dia cheio de boas notícias é a melhor forma de começar a semana.,1
Recebi um elogio do meu professor de música.,1
Sinto que não tenho controle sobre minha própria vida.,0
Eu estou ansioso por algo me machucar.,0
Minha vida é uma bagunça,0
Minha família tem preconceito com minha religião e isso causa brigas constantes.,0
Minha alma está cansada de tanto sofrimento,0
A vida é dura demais e não sei se consigo aguentar.,0
"Meu time ganhou o jogo, estou orgulhoso deles.",1
Não consigo encontrar um trabalho que me satisfaça.,0
Eu sou um ser de sucesso.,1
Minha saúde está tão ruim que eu nem consigo aproveitar a vida.,0
Encontrei um livro que estava esgotado em todas as livrarias e me senti sortudo.,1
Não suporto mais a pressão da sociedade para ser perfeito em todos os aspectos.,0
40. O mundo é um lugar triste e solitário quando você não tem ninguém para compartilhar sua vida.,0
O sucesso está ao meu alcance.,1
A felicidade está nas pessoas que amamos e nos momentos que compartilhamos.,1
Ganhei uma cesta de frutas fresquinhas.,1
Não tenho forças para enfrentar mais um dia.,0
Estou tão cansado que não consigo me concentrar em nada,0
Estou super ansioso(a) para o final de semana porque vou fazer um passeio de barco.,1
64. Acho que nunca vou ser capaz de superar essa dor.,0
Tudo é difícil demais para mim,0
Estou cansado das expectativas que ninguém se importa em cumprir.,0
Eu sou grato pelos meus amigos.,1
Não tenho talento para nada,0
"Eu valorizo as coisas simples da vida, como um abraço apertado e um sorriso sincero.",1
Recebi um convite para um evento exclusivo.,1
Não tenho ninguém para contar nos meus momentos difíceis.,0
Não existe nada mais bonito do que um sorriso sincero.,1
"Um coração grato é um coração feliz, e eu sou extremamente grato por tudo que tenho.",1
Agradeço pela minha família que é meu porto seguro.,1
Não posso confiar em ninguém.,0
Sinto-me sozinho em meio a multidão.,0
Acredito no meu potencial e na minha capacidade de alcançar meus sonhos.,1
Não consigo encontrar sentido em nada,0
Eu me sinto humilhado.,0
Todos os dias são especiais quando estou com você.,1
Estou chateado comigo mesmo por não ter conseguido ser melhor.,0
Nunca me senti melhor do que quando estou ao seu lado.,1
A cada dia me descubro mais e melhor.,1
Não suporto mais a pressão da sociedade para sermos perfeitos em todos os aspectos.,0
Estou decepcionado comigo mesmo por não ter conseguido manter a promessa que fiz.,0
Minha fé me sustenta e me dá forças para seguir em frente.,1
A comida do restaurante que experimentei ontem estava deliciosa.,1
27. Acho que a minha vida seria muito mais fácil se eu soubesse amar a mim mesmo.,0
Tenho orgulho de quem me tornei.,1
A alegria está nas pequenas coisas da vida.,1
26. Não é fácil ter que sorrir e fingir que está tudo bem quando na verdade tudo desmoronou.,0
A felicidade está em mim.,1
Hoje é sexta-feira e a animação já está no ar!,1
Eu tive um ótimo dia.,1
Acredite no impossível e faça acontecer.,1
Às vezes tenho vontade de desaparecer e nunca mais voltar.,0
A fé me fortalece e me faz acreditar em um futuro melhor.,1
Não vejo a hora de me livrar desse emprego péssimo.,0
